sample	observed_at	listener_count	command_sha256	owner_label_sha256	health_status	models_status	model_alias
60	2026-08-29T17:45:02Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
61	2026-08-29T17:45:03Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
62	2026-08-29T17:45:04Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
63	2026-08-29T17:45:05Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
64	2026-08-29T17:45:06Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
65	2026-08-29T17:45:08Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
66	2026-08-29T17:45:09Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
67	2026-08-29T17:45:10Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
68	2026-08-29T17:45:11Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
69	2026-08-29T17:45:12Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
70	2026-08-29T17:45:13Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
71	2026-08-29T17:45:15Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
72	2026-08-29T17:45:16Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
73	2026-08-29T17:45:17Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
74	2026-08-29T17:45:18Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
75	2026-08-29T17:45:19Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
76	2026-08-29T17:45:20Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
77	2026-08-29T17:45:22Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
78	2026-08-29T17:45:23Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
79	2026-08-29T17:45:24Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
80	2026-08-29T17:45:25Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
81	2026-08-29T17:45:26Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
82	2026-08-29T17:45:27Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
83	2026-08-29T17:45:29Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
84	2026-08-29T17:45:30Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
85	2026-08-29T17:45:31Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
86	2026-08-29T17:45:32Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
87	2026-08-29T17:45:33Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
88	2026-08-29T17:45:34Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
89	2026-08-29T17:45:35Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
90	2026-08-29T17:45:36Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
